game_id,week,season_type,neutral_site,conference_game,venue,home_team,home_conference,home_points,away_team,away_conference,away_points,Date,Attendance
401673462,15,regular,FALSE,TRUE,Michie Stadium,Army,American Athletic,35,Tulane,American Athletic,14,12/06/2024,14016
401645383,16,regular,TRUE,TRUE,Northwest Stadium,Army,American Athletic,13,Navy,American Athletic,31,12/14/2024,60726
401677100,1,postseason,TRUE,FALSE,Independence Stadium,Army,American Athletic,27,Louisiana Tech,Conference USA,6,12/28/2024,34283
401634181,2,regular,FALSE,FALSE,Scheumann Stadium,Ball State,Mid-American,42,Missouri State,MVFC,34,09/07/2024,10018
401635544,3,regular,FALSE,FALSE,Hard Rock Stadium,Miami,ACC,62,Ball State,Mid-American,0,09/14/2024,51564
401644735,4,regular,FALSE,TRUE,Kelly/Shorts Stadium,Central Michigan,Mid-American,37,Ball State,Mid-American,34,09/21/2024,18011
401643793,5,regular,FALSE,FALSE,Bridgeforth Stadium,James Madison,Sun Belt,63,Ball State,Mid-American,7,09/28/2024,25786
401644741,6,regular,FALSE,TRUE,Scheumann Stadium,Ball State,Mid-American,42,Western Michigan,Mid-American,45,10/05/2024,10342
401644743,7,regular,FALSE,TRUE,Dix Stadium,Kent State,Mid-American,35,Ball State,Mid-American,37,10/12/2024,7322
401628399,8,regular,FALSE,FALSE,FirstBank Stadium,Vanderbilt,SEC,24,Ball State,Mid-American,14,10/19/2024,27884
401644753,9,regular,FALSE,TRUE,Scheumann Stadium,Ball State,Mid-American,25,Northern Illinois,Mid-American,23,10/26/2024,15318
401644688,11,regular,FALSE,TRUE,Scheumann Stadium,Ball State,Mid-American,21,Miami (OH),Mid-American,27,11/05/2024,6412
401644763,12,regular,FALSE,TRUE,UB Stadium,Buffalo,Mid-American,51,Ball State,Mid-American,48,11/12/2024,12708
401644774,13,regular,FALSE,TRUE,Scheumann Stadium,Ball State,Mid-American,13,Bowling Green,Mid-American,38,11/23/2024,7116
401644777,14,regular,FALSE,TRUE,Peden Stadium,Ohio,Mid-American,42,Ball State,Mid-American,21,11/29/2024,11804
401643700,1,regular,FALSE,FALSE,Allen E. Paulson Stadium,Georgia Southern,Sun Belt,45,Boise State,Mountain West,56,08/31/2024,24134
401628469,2,regular,FALSE,FALSE,Autzen Stadium,Oregon,Big Ten,37,Boise State,Mountain West,34,09/07/2024,58134
401637162,4,regular,FALSE,FALSE,Albertsons Stadium,Boise State,Mountain West,56,Portland State,Big Sky,14,09/21/2024,36972
401643719,5,regular,FALSE,FALSE,Albertsons Stadium,Boise State,Mountain West,45,Washington State,Pac-12,24,09/28/2024,37711
401643723,6,regular,FALSE,TRUE,Albertsons Stadium,Boise State,Mountain West,62,Utah State,Mountain West,30,10/05/2024,37210
401643728,7,regular,FALSE,TRUE,Clarence T.C. Ching Athletics Complex,Hawai'i,Mountain West,7,Boise State,Mountain West,28,10/12/2024,15194
401643740,9,regular,FALSE,TRUE,Allegiant Stadium,UNLV,Mountain West,24,Boise State,Mountain West,29,10/25/2024,42228
401643747,10,regular,FALSE,TRUE,Albertsons Stadium,Boise State,Mountain West,56,San Diego State,Mountain West,24,11/01/2024,36838
401643752,11,regular,FALSE,TRUE,Albertsons Stadium,Boise State,Mountain West,28,Nevada,Mountain West,21,11/09/2024,37143
401643758,12,regular,FALSE,TRUE,CEFCU Stadium,San José State,Mountain West,21,Boise State,Mountain West,42,11/16/2024,20517
401643764,13,regular,FALSE,TRUE,War Memorial Stadium,Wyoming,Mountain West,13,Boise State,Mountain West,17,11/23/2024,18094
401643769,14,regular,FALSE,FALSE,Albertsons Stadium,Boise State,Mountain West,34,Oregon State,Pac-12,18,11/29/2024,37264
401673468,15,regular,FALSE,TRUE,Albertsons Stadium,Boise State,Mountain West,21,UNLV,Mountain West,7,12/06/2024,36663
401677181,1,postseason,TRUE,FALSE,State Farm Stadium,Boise State,Mountain West,14,Penn State,Big Ten,31,12/31/2024,63854
401644729,1,regular,FALSE,FALSE,Doyt L. Perry Stadium,Bowling Green,Mid-American,41,Fordham,Patriot,17,08/29/2024,12786
401628470,2,regular,FALSE,FALSE,Beaver Stadium,Penn State,Big Ten,34,Bowling Green,Mid-American,27,09/07/2024,103861
401628372,4,regular,FALSE,FALSE,Kyle Field,Texas A&M,SEC,26,Bowling Green,Mid-American,20,09/21/2024,99523
401643795,5,regular,FALSE,FALSE,Doyt L. Perry Stadium,Bowling Green,Mid-American,27,Old Dominion,Sun Belt,30,09/28/2024,19140
401644744,7,regular,FALSE,TRUE,Doyt L. Perry Stadium,Bowling Green,Mid-American,7,Northern Illinois,Mid-American,17,10/12/2024,9559
401644748,8,regular,FALSE,TRUE,Doyt L. Perry Stadium,Bowling Green,Mid-American,27,Kent State,Mid-American,6,10/19/2024,20858
401644754,9,regular,FALSE,TRUE,Glass Bowl,Toledo,Mid-American,26,Bowling Green,Mid-American,41,10/26/2024,29697
401644760,11,regular,FALSE,TRUE,Kelly/Shorts Stadium,Central Michigan,Mid-American,13,Bowling Green,Mid-American,23,11/05/2024,7832
401644764,12,regular,FALSE,TRUE,Doyt L. Perry Stadium,Bowling Green,Mid-American,31,Western Michigan,Mid-American,13,11/12/2024,8461
401644691,14,regular,FALSE,TRUE,Doyt L. Perry Stadium,Bowling Green,Mid-American,12,Miami (OH),Mid-American,28,11/29/2024,9345
401644727,1,regular,FALSE,FALSE,UB Stadium,Buffalo,Mid-American,30,Lafayette,Patriot,13,08/29/2024,16400
401628344,2,regular,FALSE,FALSE,Memorial Stadium,Missouri,SEC,38,Buffalo,Mid-American,0,09/07/2024,62621
401629041,3,regular,FALSE,FALSE,UB Stadium,Buffalo,Mid-American,34,Massachusetts,FBS Independents,3,09/14/2024,15204
401644736,4,regular,FALSE,TRUE,Huskie Stadium,Northern Illinois,Mid-American,20,Buffalo,Mid-American,23,09/21/2024,18688
401629032,5,regular,FALSE,FALSE,Pratt & Whitney Stadium,UConn,FBS Independents,47,Buffalo,Mid-American,3,09/28/2024,20347
401644745,7,regular,FALSE,TRUE,UB Stadium,Buffalo,Mid-American,30,Toledo,Mid-American,15,10/12/2024,13996
